Market,Name,y14,y09,y04,y99,t5yr,t10tr,t15yr,,,t5yr1,t10yr1,t15yr1
01001,"Autauga County, AL",-0.18029217,-0.361468042,-0.229508702,-0.326665234,0.000883702,-0.131075637,-0.033919106,,,0.181175872,0.049216533,0.146373064
01003,"Baldwin County, AL",1.171342401,0.997877575,0.800159034,0.863416873,1.344807228,1.542525769,1.47926793,,,0.173464827,0.371183368,0.307925528
01005,"Barbour County, AL",-0.594233496,-0.500518189,-0.468046103,-0.3635391,-0.687948802,-0.720420889,-0.824927892,,,-0.093715307,-0.126187393,-0.230694396
01007,"Bibb County, AL",-1.143353878,-0.905412359,-1.191797164,-0.9484405,-1.381295396,-1.094910592,-1.338267255,,,-0.237941518,0.048443286,-0.194913377
01009,"Blount County, AL",-0.401280451,-0.306293033,-0.366356294,-0.299670379,-0.49626787,-0.436204609,-0.502890524,,,-0.094987419,-0.034924157,-0.101610073
01011,"Bullock County, AL",-1.189074201,-1.131694985,-1.409523025,#N/A,-1.246453416,-0.968625376,#N/A,,,-0.057379216,0.220448825,#N/A
01013,"Butler County, AL",-0.667911636,-0.789129055,-0.684656521,-0.661523992,-0.546694216,-0.65116675,-0.674299279,,,0.12121742,0.016744886,-0.006387644
01015,"Calhoun County, AL",0.565587657,0.65368999,0.667692911,0.78881756,0.477485324,0.463482403,0.342357754,,,-0.088102333,-0.102105254,-0.223229903
01017,"Chambers County, AL",-0.729153131,-0.720905788,-0.652450896,-0.603484951,-0.737400474,-0.805855367,-0.854821311,,,-0.008247343,-0.076702236,-0.12566818
01019,"Cherokee County, AL",-0.808680151,-1.069889735,-0.765340165,-0.738434187,-0.547470566,-0.852020136,-0.878926114,,,0.261209584,-0.043339986,-0.070245963
01021,"Chilton County, AL",-0.603864789,-0.472536203,-0.404833952,-0.469813077,-0.735193375,-0.802895626,-0.737916501,,,-0.131328586,-0.199030837,-0.134051712
01023,"Choctaw County, AL",-1.128443334,-0.917628388,-0.962547832,-0.662356348,-1.339258281,-1.294338836,-1.59453032,,,-0.210814946,-0.165895502,-0.466086986
01025,"Clarke County, AL",-0.321169033,-0.50913595,-0.46908021,-0.347404219,-0.133202116,-0.173257855,-0.294933846,,,0.187966917,0.147911177,0.026235186
01027,"Clay County, AL",-1.170300737,-1.094563329,-1.391284943,-1.139957709,-1.246038146,-0.949316531,-1.200643765,,,-0.075737409,0.220984206,-0.030343028
01029,"Cleburne County, AL",-1.340914061,-1.238451875,#N/A,-1.076823574,-1.443376248,#N/A,-1.605004549,,,-0.102462187,#N/A,-0.264090487
01031,"Coffee County, AL",-0.116183282,-0.148902768,-0.139009996,-0.218893214,-0.083463797,-0.093356569,-0.013473351,,,0.032719486,0.022826714,0.102709931
01033,"Colbert County, AL",0.230412374,0.177660279,0.022369563,0.041939974,0.283164469,0.438455185,0.418884774,,,0.052752095,0.208042811,0.1884724
01035,"Conecuh County, AL",-1.219601714,-1.213103599,-1.113752204,-0.958554404,-1.226099829,-1.325451224,-1.480649024,,,-0.006498115,-0.10584951,-0.26104731
01037,"Coosa County, AL",-1.937998185,#N/A,#N/A,-1.490562514,#N/A,#N/A,-2.385433856,,,#N/A,#N/A,-0.447435671
01039,"Covington County, AL",-0.158092404,0.064773641,-0.224857764,-0.16876485,-0.380958449,-0.091327044,-0.147419958,,,-0.222866045,0.06676536,0.010672446
01041,"Crenshaw County, AL",-1.329415029,-1.268847416,#N/A,-1.196772646,-1.389982642,#N/A,-1.462057413,,,-0.060567613,#N/A,-0.132642384
