Market,City,y15,y14,y10,y05,y03,,t1yr,t5yr,t10yr,t12yr,,Current,ShortTerm,MidTerm,LongTerm
10020,"Abbeville, LA",#N/A,#N/A,-0.76,-0.74,-0.56,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
10100,"Aberdeen, SD",-0.34,-0.28,-0.16,-0.49,-0.35,,-0.06,-0.18,0.15,0.01,,-0.87,-1.32,0.17,-0.48
10140,"Aberdeen, WA",-0.37,-0.21,-0.4,-0.46,-0.45,,-0.16,0.03,0.09,0.09,,-1.67,0.02,-0.21,-0.27
10180,"Abilene, TX",0.21,0.31,0.25,1.01,1.19,,-0.1,-0.04,-0.8,-0.98,,-0.63,0.11,-1.64,-1.45
10220,"Ada, OK",-0.8,-0.88,-0.92,-0.97,-0.91,,0.08,0.12,0.17,0.11,,-0.14,-0.07,-0.56,-0.73
10300,"Adrian, MI",-0.28,-0.27,-0.21,-0.17,-0.38,,0,-0.06,-0.11,0.1,,-0.32,-0.58,-0.49,0.06
10420,"Akron, OH",2.02,2.02,1.88,1.14,1.11,,0,0.14,0.88,0.91,,1.97,2.96,3.89,3.39
10460,"Alamogordo, NM",-0.74,-0.6,-0.49,-0.71,-0.58,,-0.14,-0.25,-0.04,-0.17,,-1.92,-2.06,-0.6,-1.14
10500,"Albany, GA",0.05,0.26,0.25,1.06,1.14,,-0.21,-0.21,-1.01,-1.09,,-1.69,-0.92,-2.14,-1.68
10540,"Albany, OR",0.06,-0.02,0.07,-0.07,0,,0.08,-0.01,0.13,0.06,,0.67,-0.03,0.34,0.06
10540,"Albany-Lebanon, OR",0.06,-0.02,0.07,-0.07,0,,0.08,-0.01,0.13,0.06,,0.67,-0.03,0.34,0.06
10580,"Albany-Schenectady-Troy, NY",1.63,1.75,1.86,1.32,1.08,,-0.13,-0.23,0.31,0.54,,0.59,0.41,2.56,2.65
10620,"Albemarle, NC",-0.48,-0.54,-0.52,-0.65,-0.61,,0.06,0.04,0.17,0.13,,0.03,-0.23,-0.15,-0.36
10660,"Albert Lea, MN",-1,-0.79,-0.58,-0.74,-0.87,,-0.2,-0.42,-0.26,-0.13,,-2.65,-3.25,-1.2,-1.08
10700,"Albertville, AL",-0.31,-0.35,-0.33,-0.24,-0.28,,0.05,0.02,-0.07,-0.03,,0.07,-0.15,-0.51,-0.33
10740,"Albuquerque, NM",1.63,1.67,1.67,2.61,2.51,,-0.04,-0.04,-0.97,-0.87,,1.34,1.51,-0.63,0.41
10760,"Alexander City, AL",#N/A,#N/A,-0.93,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
10780,"Alexandria, LA",0.22,0.19,0.24,0.73,0.64,,0.03,-0.02,-0.51,-0.42,,0.46,0.15,-0.98,-0.32
10820,"Alexandria, MN",-0.28,-0.5,-0.58,-0.52,-0.51,,0.21,0.29,0.24,0.23,,1.45,1.33,-0.05,0.02
10860,"Alice, TX",-0.94,-0.72,-0.84,-0.86,-1.09,,-0.22,-0.11,-0.09,0.15,,-2.76,-1.31,-1.06,-0.51
10880,"Allegan, MI",#N/A,#N/A,0.06,-0.04,-0.13,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
10900,"Allentown-Bethlehem-Easton, PA-NJ",1.99,1.68,1.75,1.69,1.37,,0.31,0.24,0.3,0.62,,4.47,3.18,2.41,3.21
10940,"Alma, MI",-0.78,-1.05,-0.83,-1.08,-0.88,,0.27,0.05,0.3,0.1,,1.39,-0.68,-0.16,-0.86
10980,"Alpena, MI",-0.92,-0.9,-0.94,-0.92,-0.91,,-0.02,0.01,0,-0.02,,-1.08,-0.75,-0.97,-0.98
11020,"Altoona, PA",0.05,0.15,0.28,0.3,0.2,,-0.1,-0.23,-0.25,-0.15,,-0.79,-1.19,-0.33,-0.09
11060,"Altus, OK",-1.18,-1.1,-0.91,-1.05,-1.08,,-0.08,-0.28,-0.13,-0.11,,-1.88,-2.71,-1.23,-1.34
11100,"Amarillo, TX",0.76,0.87,0.67,0.74,0.64,,-0.1,0.09,0.02,0.12,,-0.09,1.47,0.69,1.03
11140,"Americus, GA",-1.07,-1.1,-0.99,-0.37,-0.77,,0.03,-0.07,-0.69,-0.29,,-0.81,-1.46,-2.64,-1.12
11180,"Ames, IA",-0.1,-0.08,0.21,-0.1,-0.2,,-0.02,-0.31,0,0.1,,-0.27,-1.85,0.18,0.13
11220,"Amsterdam, NY",-0.65,-0.7,-0.61,-0.97,-0.89,,0.05,-0.04,0.32,0.24,,-0.25,-0.88,0.1,-0.39
11260,"Anchorage, AK",1.3,1.33,1.33,0.47,0.77,,-0.02,-0.03,0.83,0.54,,1.1,1.19,3.25,1.78
11300,"Anderson, IN",#N/A,#N/A,-0.06,-0.1,-0.02,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
11340,"Anderson, SC",#N/A,#N/A,0.12,0.26,0.2,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
11380,"Andrews, TX",-1.15,-0.89,-1.08,-1.31,-1.35,,-0.26,-0.07,0.16,0.2,,-3.29,-1.24,-0.75,-0.84
11420,"Angola, IN",-0.51,-0.48,-0.22,-0.55,-0.39,,-0.04,-0.29,0.04,-0.13,,-0.82,-2.14,-0.16,-0.89
11460,"Ann Arbor, MI",1.54,1.31,1.4,1.48,1.69,,0.23,0.14,0.05,-0.15,,3.39,2.22,1.5,1.09
11500,"Anniston-Oxford-Jacksonville, AL",-0.2,-0.24,0,0.01,0.01,,0.04,-0.2,-0.21,-0.21,,0.12,-1.39,-0.52,-0.52
11500,"Anniston-Oxford, AL",-0.2,-0.24,0,0.01,0.01,,0.04,-0.2,-0.21,-0.21,,0.12,-1.39,-0.52,-0.52
11540,"Appleton, WI",0.95,1.03,0.88,1.05,0.8,,-0.09,0.07,-0.1,0.15,,0.23,1.52,0.61,1.4
11580,"Arcadia, FL",-1.17,-1.15,-1.25,-1.08,-0.96,,-0.02,0.08,-0.09,-0.21,,-1.3,-0.57,-1.48,-1.62
11620,"Ardmore, OK",-0.39,-0.49,-0.25,-0.39,-0.2,,0.1,-0.14,0,-0.19,,0.4,-1.28,-0.28,-0.9
