name,key,category,ra,emp
Tupelo,Upholstered Household Furniture Manufacturing,Manufacturing,588.19629,8814
Tupelo,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Manufacturing,148.59592,913
Tupelo,Consumer Electronics and Appliances Rental,Real Estate and Rental and Leasing,35.330086,71
Tupelo,Mattress Manufacturing,Manufacturing,27.463852,129
Tupelo,Wood Office Furniture Manufacturing,Manufacturing,19.137161,50
Tupelo,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",Wholesale Trade,13.900788,120
Tupelo,Farm Machinery and Equipment Manufacturing,Manufacturing,10.357943,60
Tupelo,Water Supply and Irrigation Systems,Utilities,9.0259247,64
Tupelo,Other Activities Related to Credit Intermediation,Finance and Insurance,8.6077871,221
Tupelo,Service Establishment Equipment and Supplies Merchant Wholesalers,Wholesale Trade,6.4841728,100
Tupelo,Consumer Lending,Finance and Insurance,5.5342178,104
Tupelo,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",Wholesale Trade,5.0628428,78
Tupelo,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Real Estate and Rental and Leasing,4.9417205,74
Tupelo,Collection Agencies,Administrative and Suppost and Waste Management and Remediation Services,4.1511779,173
Tupelo,General Warehousing and Storage,Transportation and Warehousing,3.9668808,808
Tupelo,"General Freight Trucking, Long-Distance, Less Than Truckload",Transportation and Warehousing,3.8541803,387
Tupelo,Temporary Help Services,Administrative and Suppost and Waste Management and Remediation Services,3.8316178,3997
Tupelo,Fuel Dealers,Retail Trade,3.3420064,71
Tupelo,Furniture Merchant Wholesalers,Wholesale Trade,3.3319757,79
Tupelo,Offices of All Other Miscellaneous Health Practitioners,Health Care and Social Assistance,3.3053358,84
Tupelo,"Sewing, Needlework, and Piece Goods Stores",Retail Trade,3.2266722,39
Tupelo,Other Gasoline Stations,Retail Trade,3.1011617,136
Tupelo,"General Freight Trucking, Long-Distance, Truckload",Transportation and Warehousing,3.077491,514
Tupelo,Automobile and Other Motor Vehicle Merchant Wholesalers,Wholesale Trade,3.0401926,125
Tupelo,Other Building Equipment Contractors,Construction,2.8362203,119
Tupelo,Commercial Banking,Finance and Insurance,2.7153254,1453
Tupelo,Automotive Parts and Accessories Stores,Retail Trade,2.6571841,346
Tupelo,Clothing Accessories Stores,Retail Trade,2.6345019,57
Tupelo,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,Wholesale Trade,2.5142407,73
Tupelo,Used Car Dealers,Retail Trade,2.4551153,128
Tupelo,"Cafeterias, Grill Buffets, and Buffets",Accommodation and Food Services,2.4067712,101
Tupelo,Used Merchandise Stores,Retail Trade,2.2923987,170
Tupelo,Florists,Retail Trade,2.2602479,48
