Market,City,y15,y14,y10,y05,t1yr,t5yr,t10yr
10100,"Aberdeen, SD",-0.577362151,-0.495597754,-0.437961121,-0.639484436,-0.659126549,-0.716763182,-0.515239867
10140,"Aberdeen, WA",-0.661256338,-0.531760018,-0.525793451,-0.567348763,-0.790752658,-0.796719225,-0.755163914
10180,"Abilene, TX",-0.098311791,-0.098922677,-0.097388952,0.180040961,-0.097700906,-0.099234631,-0.376664544
10220,"Ada, OK",-1.081398275,-1.065044585,-0.960465001,-0.962942145,-1.097751965,-1.202331549,-1.199854405
10300,"Adrian, MI",0.072696583,0.135299263,0.356102589,0.365072803,0.010093903,-0.210709422,-0.219679636
10420,"Akron, OH",2.024694283,2.147547183,2.070324996,2.084156445,1.901841383,1.97906357,1.965232122
10460,"Alamogordo, NM",-0.787412749,-0.732901231,-0.800792533,-0.940818373,-0.841924267,-0.774032966,-0.634007125
10500,"Albany, GA",-0.20012063,-0.043806133,-0.066558759,-0.016401356,-0.356435127,-0.333682501,-0.383839904
10540,"Albany, OR",0.125246837,0.124654056,0.197993951,0.063581315,0.125839618,0.052499723,0.186912359
10580,"Albany-Schenectady-Troy, NY",1.712304065,1.757827066,1.586063122,1.765285051,1.666781063,1.838545008,1.659323078
10620,"Albemarle, NC",-0.328561934,-0.324361861,-0.34572037,-0.204464773,-0.332762008,-0.311403499,-0.452659095
10660,"Albert Lea, MN",-0.713664622,-0.718370892,-0.534480362,-0.345829017,-0.708958352,-0.892848882,-1.081500228
10700,"Albertville, AL",-0.004294508,-0.121424976,0.222763589,0.170115866,0.112835961,-0.231352604,-0.178704881
10740,"Albuquerque, NM",0.923138837,1.003266552,1.270381418,1.58776474,0.843011122,0.575896256,0.258512934
10780,"Alexandria, LA",-0.272573598,-0.249032504,-0.245323695,-0.258084564,-0.296114693,-0.299823502,-0.287062633
10820,"Alexandria, MN",-0.408632579,-0.260081725,-0.340144386,-0.594369254,-0.557183433,-0.477120773,-0.222895904
10860,"Alice, TX",-1.795815708,-1.623037776,-1.59682976,-1.537771977,-1.96859364,-1.994801656,-2.053859439
10900,"Allentown-Bethlehem-Easton, PA-NJ",2.023276,1.9022152,2.2804578,2.328990874,2.1443368,1.7660942,1.717561125
10940,"Alma, MI",-0.943669034,-1.006039524,-0.895377695,-0.690898737,-0.881298544,-0.991960373,-1.196439332
10980,"Alpena, MI",-0.780437862,-0.849344516,-0.988400426,-0.636287255,-0.711531209,-0.572475299,-0.92458847
11020,"Altoona, PA",0.484434588,0.430832464,0.539411191,0.745448282,0.538036712,0.429457985,0.223420894
11060,"Altus, OK",-1.420095069,-1.373520118,-1.361752368,-1.319566903,-1.466670021,-1.478437771,-1.520623236
11100,"Amarillo, TX",0.263017888,0.191085083,0.196714293,0.348363833,0.334950693,0.329321484,0.177671943
11140,"Americus, GA",-0.697872822,-0.727965997,-0.771341058,-0.670843454,-0.667779648,-0.624404587,-0.724902191
11180,"Ames, IA",0.446749797,0.434355308,0.01642707,0.097934962,0.459144287,0.877072525,0.795564633
11220,"Amsterdam, NY",-0.157473427,-0.203482737,0.175396141,0.13645903,-0.111464117,-0.490342995,-0.451405884
11260,"Anchorage, AK",0.796810444,0.739973926,0.50644433,0.181756345,0.853646962,1.087176559,1.411864543
11380,"Andrews, TX",-1.740615115,-1.517366946,-1.472572354,-1.405349135,-1.963863285,-2.008657877,-2.075881096
11420,"Angola, IN",-0.11842751,-0.120048092,0.029479077,0.083973265,-0.116806928,-0.266334097,-0.320828285
11460,"Ann Arbor, MI",1.947905368,1.708378532,1.643121991,1.412837093,2.187432205,2.252688745,2.482973643
11500,"Anniston-Oxford-Jacksonville, AL",0.203889656,0.379730122,0.51464022,0.595021606,0.028049191,-0.106860908,-0.187242293
11540,"Appleton, WI",1.319050126,1.380784284,1.311030236,1.452273619,1.257315968,1.327070016,1.185826632
11580,"Arcadia, FL",-0.906722038,-0.835864017,-1.192251254,-1.10463891,-0.977580058,-0.621192821,-0.708805165
11620,"Ardmore, OK",-1.028024718,-0.901517612,-0.835069791,-0.927708418,-1.154531824,-1.220979644,-1.128341017
11660,"Arkadelphia, AR",-1.011924841,-0.983744767,-1.108438868,-1.30002049,-1.040104915,-0.915410814,-0.723829192
11680,"Arkansas City-Winfield, KS",-1.33760046,-1.243579182,#N/A,#N/A,-1.431621737,#N/A,#N/A
11700,"Asheville, NC",1.071954227,1.04892574,1.319724522,1.262312283,1.094982715,0.824183933,0.881596172
11740,"Ashland, OH",0.149868772,0.041859775,0.079422458,-0.006432333,0.257877768,0.220315085,0.306169876
11780,"Ashtabula, OH",0.145048671,0.238519251,0.262266579,0.342519285,0.051578091,0.027830763,-0.052421944
11820,"Astoria, OR",-0.564404414,-0.453199857,-0.456007031,-0.924772347,-0.675608972,-0.672801798,-0.204036482
11860,"Atchison, KS",-1.076528059,-1.209037753,-1.07084149,-0.949425204,-0.944018365,-1.082214628,-1.203630914
11900,"Athens, OH",-0.539750446,-0.408084471,-0.634060824,-0.718166792,-0.671416422,-0.445440068,-0.361334101
11940,"Athens, TN",-0.806656092,-0.805397474,-0.621681893,-0.579038026,-0.80791471,-0.991630291,-1.034274158
11980,"Athens, TX",-0.861397812,-0.880144602,-0.753088899,-0.969304329,-0.842651022,-0.969706725,-0.753491294
12020,"Athens-Clarke County, GA",0.676725705,0.645628854,0.657010492,0.586207816,0.707822556,0.696440919,0.767243595
12060,"Atlanta-Sandy Springs-Roswell, GA",2.256317558,2.209205901,2.567651172,2.391774701,2.303429215,1.944983945,2.120860415
12100,"Atlantic City-Hammonton, NJ",0.806032504,0.760493767,0.246964677,0.385972873,0.85157124,1.36510033,1.226092135
12140,"Auburn, IN",0.188337519,0.078164071,0.293379751,0.648963551,0.298510968,0.083295288,-0.272288512
12180,"Auburn, NY",-0.035552448,-0.003085042,0.043081828,-0.046323343,-0.068019855,-0.114186725,-0.024781554
12220,"Auburn-Opelika, AL",0.340627528,0.341221369,0.406052531,0.287777802,0.340033688,0.275202525,0.393477255
12260,"Augusta-Richmond County, GA-SC",0.87185132,0.707987878,0.58347801,1.178423169,1.035714761,1.160224629,0.56527947
12300,"Augusta-Waterville, ME",0.28583562,0.341231465,0.433976633,-0.068862673,0.230439774,0.137694606,0.640533912
12380,"Austin, MN",-0.793806677,-0.956477138,-1.126487838,-1.046761122,-0.631136215,-0.461125515,-0.540852231
12420,"Austin-Round Rock, TX",1.909053159,2.038334375,1.59271621,1.718767016,1.779771944,2.225390109,2.099339303
12460,"Bainbridge, GA",-1.21127022,-1.210626757,-0.990067841,-1.222438748,-1.211913682,-1.432472598,-1.200101691
12540,"Bakersfield, CA",0.49314678,0.549784557,0.318778965,0.014115274,0.436509004,0.667514596,0.972178287
12580,"Baltimore-Columbia-Towson, MD",1.82902373,1.914057717,1.936155177,2.742710918,1.743989743,1.721892282,0.915336542
12620,"Bangor, ME",0.393797341,0.364652279,0.317793879,-0.153441445,0.422942404,0.469800804,0.941036128
12660,"Baraboo, WI",0.494893309,0.453305103,0.230334756,-0.023625533,0.536481516,0.759451863,1.013412152
12680,"Bardstown, KY",-0.53134755,-0.588537235,#N/A,#N/A,-0.474157865,#N/A,#N/A
12700,"Barnstable Town, MA",0.746674409,0.826110781,0.744132574,0.366844913,0.667238037,0.749216243,1.126503905
12740,"Barre, VT",0.817529933,0.624915028,0.700653559,0.763382765,1.010144838,0.934406306,0.8716771
12780,"Bartlesville, OK",-0.562529548,-0.471964612,-0.242914436,-0.757437872,-0.653094484,-0.88214466,-0.367621224
12820,"Bastrop, LA",-1.733378245,-1.708342067,-1.550653209,-1.499580163,-1.758414424,-1.916103282,-1.967176327
12860,"Batavia, NY",-0.12757318,-0.035782988,-0.207772361,-0.2524211,-0.219363371,-0.047373999,-0.002725259
12900,"Batesville, AR",-1.204291257,-1.071608646,-1.040020555,-0.849336197,-1.336973868,-1.368561959,-1.559246317
12940,"Baton Rouge, LA",0.931291692,0.890010979,0.781074002,1.035635389,0.972572405,1.081509382,0.826947995
12980,"Battle Creek, MI",0.831204285,0.672981141,0.943666232,0.795546312,0.989427428,0.718742337,0.866862257
13020,"Bay City, MI",0.181259687,0.071758564,0.155188021,0.129813583,0.29076081,0.207331353,0.232705791
13060,"Bay City, TX",-1.144194817,-1.188152141,-1.320476679,-1.297922056,-1.100237493,-0.967912955,-0.990467578
13100,"Beatrice, NE",-0.930398069,-1.010295885,-1.054660105,-1.247082165,-0.850500254,-0.806136033,-0.613713973
13140,"Beaumont-Port Arthur, TX",0.357563341,0.443608768,0.202333508,0.78819677,0.271517914,0.512793173,-0.073070088
13180,"Beaver Dam, WI",0.388618525,0.223856061,0.408926184,0.351459703,0.55338099,0.368310866,0.425777347
13220,"Beckley, WV",-0.220220089,-0.251068466,-0.52135812,-0.511459783,-0.189371712,0.080917942,0.071019605
