key,category,code,msaEmp,msaRa,msaFra
Upholstered Household Furniture Manufacturing,Manufacturing,337121,8814,588.19629,588.19629
Urethane and Other Foam Product (except Polystyrene) Manufacturing,Manufacturing,326150,913,148.59592,148.59592
Consumer Electronics and Appliances Rental,Real Estate and Rental and Leasing,532210,71,35.330086,35.330086
Mattress Manufacturing,Manufacturing,337910,129,27.463852,27.463852
Wood Office Furniture Manufacturing,Manufacturing,337211,50,19.137161,19.137161
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",Wholesale Trade,424310,120,13.900788,13.900788
Farm Machinery and Equipment Manufacturing,Manufacturing,333111,60,10.357943,10.357943
Water Supply and Irrigation Systems,Utilities,221310,64,9.0259247,9.0259247
Other Activities Related to Credit Intermediation,Finance and Insurance,522390,221,8.6077871,8.6077871
Service Establishment Equipment and Supplies Merchant Wholesalers,Wholesale Trade,423850,100,6.4841728,6.4841728
Consumer Lending,Finance and Insurance,522291,104,5.5342178,5.5342178
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",Wholesale Trade,424930,78,5.0628428,5.0628428
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Real Estate and Rental and Leasing,532120,74,4.9417205,4.9417205
Collection Agencies,Administrative and Suppost and Waste Management and Remediation Services,561440,173,4.1511779,4.1511779
General Warehousing and Storage,Transportation and Warehousing,493110,808,3.9668808,3.9668808
"General Freight Trucking, Long-Distance, Less Than Truckload",Transportation and Warehousing,484122,387,3.8541803,3.8541803
Temporary Help Services,Administrative and Suppost and Waste Management and Remediation Services,561320,3997,3.8316178,3.8316178
Fuel Dealers,Retail Trade,454310,71,3.3420064,3.3420064
Furniture Merchant Wholesalers,Wholesale Trade,423210,79,3.3319757,3.3319757
Offices of All Other Miscellaneous Health Practitioners,Health Care and Social Assistance,621399,84,3.3053358,3.3053358
"Sewing, Needlework, and Piece Goods Stores",Retail Trade,451130,39,3.2266722,3.2266722
Other Gasoline Stations,Retail Trade,447190,136,3.1011617,3.1011617
"General Freight Trucking, Long-Distance, Truckload",Transportation and Warehousing,484121,514,3.077491,3.077491
Automobile and Other Motor Vehicle Merchant Wholesalers,Wholesale Trade,423110,125,3.0401926,3.0401926
Other Building Equipment Contractors,Construction,238290,119,2.8362203,2.8362203
Commercial Banking,Finance and Insurance,522110,1453,2.7153254,2.7153254
Automotive Parts and Accessories Stores,Retail Trade,441310,346,2.6571841,2.6571841
