key,category,value
Upholstered Household Furniture Manufacturing,Manufacturing,588.19629
Urethane and Other Foam Product (except Polystyrene) Manufacturing,Manufacturing,148.59592
Consumer Electronics and Appliances Rental,Real Estate and Rental and Leasing,35.330086
Mattress Manufacturing,Manufacturing,27.463852
Wood Office Furniture Manufacturing,Manufacturing,19.137161
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",Wholesale Trade,13.900788
Farm Machinery and Equipment Manufacturing,Manufacturing,10.357943
Water Supply and Irrigation Systems,Utilities,9.0259247
Other Activities Related to Credit Intermediation,Finance and Insurance,8.6077871
Service Establishment Equipment and Supplies Merchant Wholesalers,Wholesale Trade,6.4841728
Consumer Lending,Finance and Insurance,5.5342178
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",Wholesale Trade,5.0628428
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Real Estate and Rental and Leasing,4.9417205
Collection Agencies,Administrative and Suppost and Waste Management and Remediation Services,4.1511779
General Warehousing and Storage,Transportation and Warehousing,3.9668808
"General Freight Trucking, Long-Distance, Less Than Truckload",Transportation and Warehousing,3.8541803
Temporary Help Services,Administrative and Suppost and Waste Management and Remediation Services,3.8316178
Fuel Dealers,Retail Trade,3.3420064
Furniture Merchant Wholesalers,Wholesale Trade,3.3319757
Offices of All Other Miscellaneous Health Practitioners,Health Care and Social Assistance,3.3053358
"Sewing, Needlework, and Piece Goods Stores",Retail Trade,3.2266722
Other Gasoline Stations,Retail Trade,3.1011617
"General Freight Trucking, Long-Distance, Truckload",Transportation and Warehousing,3.077491
Automobile and Other Motor Vehicle Merchant Wholesalers,Wholesale Trade,3.0401926
Other Building Equipment Contractors,Construction,2.8362203
Commercial Banking,Finance and Insurance,2.7153254
Automotive Parts and Accessories Stores,Retail Trade,2.6571841
Clothing Accessories Stores,Retail Trade,2.6345019
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,Wholesale Trade,2.5142407
Used Car Dealers,Retail Trade,2.4551153
