Market,ENI,City,Area,GDP,PerCapita,Log_GDP,Log_PerCapita
10100,-0.275467203,"Aberdeen, SD",NA,NA,NA,NA,NA
10140,-0.209070244,"Aberdeen, WA",NA,NA,NA,NA,NA
10180,0.312845411,"Abilene, TX","Abilene, TX (Metropolitan Statistical Area)",6875,40809.66373,3.837272703,4.610763016
10220,-0.88361247,"Ada, OK",NA,NA,NA,NA,NA
10300,-0.270873773,"Adrian, MI",NA,NA,NA,NA,NA
10420,2.024952132,"Akron, OH","Akron, OH (Metropolitan Statistical Area)",32810,46581.62432,4.51600623,4.668214628
10460,-0.598256676,"Alamogordo, NM",NA,NA,NA,NA,NA
10500,0.260180189,"Albany, GA","Albany, GA (Metropolitan Statistical Area)",5101,32877.01252,3.707655324,4.516892347
10540,-0.017274044,"Albany-Lebanon, OR","Albany, OR (Metropolitan Statistical Area)",3440,28861.96597,3.536558443,4.46032591
10580,1.754985226,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48922,55607.39962,4.689504203,4.745132587
10620,-0.5448662,"Albemarle, NC",NA,NA,NA,NA,NA
10660,-0.793511568,"Albert Lea, MN",NA,NA,NA,NA,NA
10700,-0.352249183,"Albertville, AL",NA,NA,NA,NA,NA
10740,1.667980291,"Albuquerque, NM","Albuquerque, NM (Metropolitan Statistical Area)",41684,46128.07058,4.619969387,4.66396529
10780,0.19135618,"Alexandria, LA","Alexandria, LA (Metropolitan Statistical Area)",5322,34366.30268,3.72607487,4.536132811
10820,-0.497258315,"Alexandria, MN",NA,NA,NA,NA,NA
10860,-0.721861692,"Alice, TX",NA,NA,NA,NA,NA
10900,1.677851712,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",35335,42549.11783,4.548205096,4.62889056
10940,-1.048544824,"Alma, MI",NA,NA,NA,NA,NA
10980,-0.903800543,"Alpena, MI",NA,NA,NA,NA,NA
11020,0.150326455,"Altoona, PA","Altoona, PA (Metropolitan Statistical Area)",4922,39057.60243,3.692141609,4.59170558
11060,-1.099253986,"Altus, OK",NA,NA,NA,NA,NA
11100,0.868257296,"Amarillo, TX","Amarillo, TX (Metropolitan Statistical Area)",12030,46117.04452,4.080265627,4.663861467
11140,-1.097818323,"Americus, GA",NA,NA,NA,NA,NA
11180,-0.077165125,"Ames, IA","Ames, IA (Metropolitan Statistical Area)",4761,49923.4528,3.677698181,4.698304614
11220,-0.70283196,"Amsterdam, NY",NA,NA,NA,NA,NA
11260,1.325233177,"Anchorage, AK","Anchorage, AK (Metropolitan Statistical Area)",30972,77697.08373,4.490969251,4.890404718
11380,-0.889980357,"Andrews, TX",NA,NA,NA,NA,NA
11420,-0.475127216,"Angola, IN",NA,NA,NA,NA,NA
11460,1.30815591,"Ann Arbor, MI","Ann Arbor, MI (Metropolitan Statistical Area)",20347,56680.03789,4.308500385,4.753430132
11500,-0.240411,"Anniston-Oxford-Jacksonville, AL","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3753,32398.97442,3.574378564,4.510531263
11540,1.033355092,"Appleton, WI","Appleton, WI (Metropolitan Statistical Area)",11803,50979.37588,4.071992407,4.707394514
11580,-1.150419228,"Arcadia, FL",NA,NA,NA,NA,NA
11620,-0.49206027,"Ardmore, OK",NA,NA,NA,NA,NA
11660,-1.121171742,"Arkadelphia, AR",NA,NA,NA,NA,NA
11680,-0.778493403,"Arkansas City-Winfield, KS",NA,NA,NA,NA,NA
11700,1.041221108,"Asheville, NC","Asheville, NC (Metropolitan Statistical Area)",15792,35788.58627,4.198437135,4.553744543
11740,-0.591045489,"Ashland, OH",NA,NA,NA,NA,NA
11780,-0.296806894,"Ashtabula, OH",NA,NA,NA,NA,NA
11820,-0.196778478,"Astoria, OR",NA,NA,NA,NA,NA
11860,-1.160403573,"Atchison, KS",NA,NA,NA,NA,NA
11900,-0.544354896,"Athens, OH",NA,NA,NA,NA,NA
11940,-0.868332663,"Athens, TN",NA,NA,NA,NA,NA
11980,-0.697384536,"Athens, TX",NA,NA,NA,NA,NA
12020,0.325170336,"Athens-Clarke County, GA","Athens-Clarke County, GA (Metropolitan Statistical Area)",7650,38483.40183,3.883661435,4.585273456
12060,3.07790285,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",322054,57450.49962,5.507928698,4.75929381
12100,0.741659188,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13274,48319.16714,4.123001813,4.68411944
12140,-0.652629915,"Auburn, IN",NA,NA,NA,NA,NA
12180,-0.481524156,"Auburn, NY",NA,NA,NA,NA,NA
12220,0.099096388,"Auburn-Opelika, AL","Auburn-Opelika, AL (Metropolitan Statistical Area)",4721,30600.80245,3.674034,4.485732815
12260,0.869145504,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",21458,36777.03089,4.331589241,4.565576665
12300,0.453464579,"Augusta-Waterville, ME",NA,NA,NA,NA,NA
12380,-0.534490299,"Austin, MN",NA,NA,NA,NA,NA
